Date,close,oil price
2020/9/11,10400.91504,38.8
2020/9/14,10680.83789,38.57
2020/9/15,10796.95117,39.54
2020/9/16,10974.90527,41.23
2020/9/17,10948.99023,42.35
2020/9/18,10944.58594,42.16
2020/9/21,10462.25977,40.37
2020/9/22,10538.45996,40.84
2020/9/23,10246.18652,41.09
2020/9/24,10760.06641,41.24
2020/9/25,10692.7168,40.91
2020/9/28,10709.65234,41.59
2020/9/29,10844.64063,40.33
2020/9/30,10784.49121,40.3
2020/10/1,10619.45215,39.75
2020/10/2,10575.97461,38
2020/10/5,10793.33984,39.78
2020/10/6,10604.40625,41.27
2020/10/7,10668.96875,40.62
2020/10/8,10915.68555,42
2020/10/9,11064.45801,41.63
2020/10/12,11555.36328,40.5
2020/10/13,11425.89941,41.34
2020/10/14,11429.50684,41.81
2020/10/15,11495.34961,41.61
2020/10/16,11322.12305,41.34
2020/10/19,11742.03711,41.29
2020/10/20,11916.33496,41.62
2020/10/21,12823.68945,40.09
2020/10/22,12965.8916,41.28
2020/10/23,12931.53906,40.71
2020/10/26,13075.24805,39.06
2020/10/27,13654.21875,39.72
2020/10/28,13271.28516,37.86
2020/10/29,13437.88281,36.56
2020/10/30,13546.52246,36.33
2020/11/2,13550.48926,37.78
2020/11/3,13950.30078,38.17
2020/11/4,14133.70703,39.68
2020/11/5,15579.84863,39.47
2020/11/6,15565.88086,38.08
2020/11/9,15332.31543,40.93
2020/11/10,15290.90234,42.25
2020/11/11,15701.33984,42.5
2020/11/12,16276.34375,42.16
2020/11/13,16317.80859,41.51
2020/11/16,16716.11133,42.71
2020/11/17,17645.40625,42.54
2020/11/18,17804.00586,42.91
2020/11/19,17817.08984,43.09
2020/11/20,18621.31445,43.79
2020/11/23,18364.12109,45
2020/11/24,19107.46484,46.63
2020/11/25,18732.12109,47.3
2020/11/26,17150.62305,46.32
2020/11/27,17108.40234,46.88
2020/11/30,19625.83594,46.84
2020/12/1,18802.99805,47.03
2020/12/2,19201.0918,47.8
2020/12/3,19445.39844,48.37
2020/12/4,18699.76563,49.1
2020/12/7,19191.63086,48.63
2020/12/8,18321.14453,48.84
2020/12/9,18553.91602,48.81
2020/12/10,18264.99219,50.33
2020/12/11,18058.9043,50.01
2020/12/14,19246.64453,50.27
2020/12/15,19417.07617,50.77
2020/12/16,21310.59766,50.83
2020/12/17,22805.16211,51.2
2020/12/18,23137.96094,52.17
2020/12/21,22803.08203,50.61
2020/12/22,23783.0293,49.88
2020/12/23,23241.3457,51.05
2020/12/24,23735.94922,50.88
2020/12/28,27084.80859,50.88
2020/12/29,27362.4375,50.44
2020/12/30,28840.95313,50.74
2020/12/31,29001.7207,51.22
2021/1/4,31971.91406,50.37
2021/1/5,33992.42969,53.16
2021/1/6,36824.36328,53.8
2021/1/7,39371.04297,53.7
2021/1/8,40797.60938,55.51
2021/1/11,35566.65625,54.84
2021/1/12,33922.96094,55.98
2021/1/13,37316.35938,55.52
2021/1/14,39187.32813,55.76
2021/1/15,36825.36719,54.8
2021/1/18,36630.07422,54.21
2021/1/19,36069.80469,55.38
2021/1/20,35547.75,55.66
2021/1/21,30825.69922,55.68
2021/1/22,33005.76172,55.22
2021/1/25,32366.39258,55.44
2021/1/26,32569.84961,55.26
2021/1/27,30432.54688,55.07
2021/1/28,33466.09766,54.87
2021/1/29,34316.38672,55.25
2021/2/1,33537.17578,56.42
2021/2/2,35510.28906,57.62
2021/2/3,37472.08984,58.61
2021/2/4,36926.06641,58.98
2021/2/5,38144.30859,59.48
2021/2/8,46196.46484,60.17
2021/2/9,46481.10547,60.74
2021/2/10,44918.18359,61.17
2021/2/11,47909.33203,61.09
2021/2/12,47504.85156,62.47
2021/2/15,47945.05859,63.58
2021/2/16,49199.87109,63.96
2021/2/17,52149.00781,65.02
2021/2/18,51679.79688,64.09
2021/2/19,55888.13281,62.84
2021/2/22,54207.32031,64.73
2021/2/23,48824.42578,65.16
2021/2/24,49705.33203,66.85
2021/2/25,47093.85156,66.69
2021/2/26,46339.76172,65.86
2021/3/1,49631.24219,64.56
2021/3/2,48378.98828,63.17
2021/3/3,50538.24219,64.7
2021/3/4,48561.16797,67.32
2021/3/5,48927.30469,69.95
2021/3/8,52246.52344,68
2021/3/9,54824.11719,67.03
2021/3/10,56008.55078,67.53
2021/3/11,57805.12109,69.34
2021/3/12,57332.08984,68.87
2021/3/15,55907.19922,68.78
2021/3/16,56804.90234,67.95
2021/3/17,58870.89453,67.73
2021/3/18,57858.92188,62.11
2021/3/19,58346.65234,64
2021/3/22,54529.14453,63.89
2021/3/23,54738.94531,59.96
2021/3/24,52774.26563,63.7
2021/3/25,51704.16016,61.21
2021/3/26,55137.3125,63.77
2021/3/29,57750.19922,64.06
2021/3/30,58917.69141,63.28
2021/3/31,58918.83203,63.52
2021/4/1,59095.80859,63.85
2021/4/6,58192.35938,61.47
2021/4/7,56048.9375,61.86
2021/4/8,58323.95313,62.09
2021/4/9,58245.00391,61.89
2021/4/12,59893.45313,62.38
2021/4/13,63503.45703,62.83
2021/4/14,63109.69531,66.11
2021/4/15,63314.01172,66.13
2021/4/16,61572.78906,65.98
2021/4/19,55724.26563,66.54
2021/4/20,56473.03125,65.34
2021/4/21,53906.08984,64.02
2021/4/22,51762.27344,65.07
2021/4/23,51093.65234,65.75
2021/4/26,54021.75391,65.5
2021/4/27,55033.11719,66.25
2021/4/28,54824.70313,67.08
2021/4/29,53555.10938,68.26
2021/4/30,57750.17578,67.73
2021/5/4,53333.53906,68.91
2021/5/5,57424.00781,69.71
2021/5/6,56396.51563,68.62
2021/5/7,57356.40234,68.73
2021/5/10,55859.79688,68.61
2021/5/11,56704.57422,68.83
2021/5/12,49150.53516,69.62
2021/5/13,49716.19141,67.36
2021/5/14,49880.53516,69.24
2021/5/17,43537.51172,69.62
2021/5/18,42909.40234,69.01
2021/5/19,37002.44141,66.88
2021/5/20,40782.73828,65.18
2021/5/21,37304.69141,66.72
2021/5/24,38705.98047,68.59
2021/5/25,38402.22266,68.8
2021/5/26,39294.19922,68.93
2021/5/27,38436.96875,69.43
2021/5/28,35697.60547,69.36
2021/6/1,36684.92578,70.03
2021/6/2,37575.17969,70.6
2021/6/3,39208.76563,70.71
2021/6/4,36894.40625,71.3
2021/6/7,33560.70703,70.89
2021/6/8,33472.63281,71.39
2021/6/9,37345.12109,71.31
2021/6/10,36702.59766,71.65
2021/6/11,37334.39844,72.05
2021/6/14,40218.47656,72.27
2021/6/15,40406.26953,73.38
2021/6/16,38347.0625,73.88
